"","name","rank","playerid","state"
"1206","Bharath Sanjai S.","70","19048","TN"
"1207","Rashmi Ganesh","70","19620","KTK"
"1208","Chandra Gopinadh P.","70","19627","AP"
"1209","Varshath S.J.","70","19988","TN"
"1210","Nitheesha Rajesh","70","20084","TN"
"1211","Aradhana ,","70","20375","KTK"
"1212","Sutanwi Sarkar","70","20713","WB"
"1213","Brinda Shinde","70","20718","GUJ"
"1214","Yogita Salve","70","21194","MAH"
"1215","Vedant Sharma","70","21205","RAJ"
"1216","Kanika Balhara","70","21735","HAR"
"1217","Sonali Mirkhelkar","70","21985","MAH"
"1218","Ajithesh Kishan Komal Noonela","70","21998","AP"
"1219","Harshvardhan Kothari","70","22021","KTK"
"1220","Himanshi Dhingra","70","22309","CHG"
"1221","Abhishek Mondalika Venkat","70","22443","CG"
"1222","Shreyas Sane","70","22511","MAH"
"1223","Shivani Pillai","70","23235","CG"
"1224","Sania Sikkandar","70","23547","TN"
"1225","Pruthvi Koka","70","23997","TS"
"1226","Aanchal Jain","70","25056","KTK"
"1227","Pradeep  Chaudhary","70","28409","UP"
"1228","Animesh Ghate","70","31302","MAH"
"1229","Mridul Jha","70","31711","PNB"
"1230","Shiven Sharma","70","32047","HAR"
"1231","Sai Venkata Hema Setti","70","36790","AP"
"1232","Hakimoddin Ansari","70","40364","MAH"
